gua,title,text
乾为天,满级大佬,气场全开，诸邪退散。今天你就是那个走路带风的 BGM 主角。
坤为地,咸鱼之王,宜躺平，忌仰卧起坐。大地的力量告诉你：趴着不仅舒服，还不容易摔倒。
水雷屯,加载中...,就像 99% 的进度条卡住了。别急，好事多磨，也许你可以先喝杯奶茶。
山水蒙,呆若木鸡,脑子突然短路，但这是一种保护机制。傻人有傻福，今天适合装糊涂。
水天需,外卖未达,万事具备，只欠东风（或者骑手）。耐心等待，最好的东西值得花时间。
天水讼,键盘侠客,容易发生口角，或者想在评论区跟人对线。建议听首躁的歌发泄一下，别打字。
地水师,带头大哥,你可能被迫要组织一场聚会或带新人。虽然麻烦，但威望值 +100。
水地比,社交牛逼,朋友缘极佳，适合在这个时候发朋友圈，点赞数会创新高。
风天小畜,攒钱买包,积少成多。虽然现在只有一点点小确幸，但存起来就是大快乐。
天泽履,如履薄冰,小心踩到猫尾巴，或者老板的雷区。走路轻一点，听歌声音小一点。
地天泰,三羊开泰,顺，就一个字。心情好得像刚通了马桶一样舒畅。
天地否,水逆本逆,沟通不畅，你说的 A，他听成了 C。建议闭嘴听歌，拒绝无效沟通。
天火同人,最佳拍档,无论打游戏还是干活，都能遇到神队友。今天适合组队开黑。
火天大有,锦鲤附体,可能会在旧衣服里翻出钱，或者买饮料再来一瓶。富得流油的一天。
地山谦,深藏功名,你很牛，但你不说。这种低调的奢华让你显得更有魅力了。
雷地豫,蹦迪预备,心情躁动，脚底板发痒。别憋着了，今晚不做刘得华，要做舞池里的 007。
泽雷随,随波逐流,别人吃啥你吃啥，别人听啥你听啥。放弃思考也是一种快乐。
山风蛊,系统重装,发现了一些陈年旧问题（比如前任的礼物）。该清理内存了，无论是电脑还是脑子。
地泽临,王者降临,你的掌控力正在回归。无论是体重还是工作，今天你说了算。
风地观,吃瓜群众,适合围观，不适合下场。今天的瓜有点多，记得自备板凳和瓜子。
火雷噬嗑,硬骨头,遇到难搞的问题或难嚼的肉。别怕，咬碎它，消化不良算我输。
山火贲,美颜十级,今天的你格外好看，或者你看啥都顺眼。适合自拍，记得修图不要太狠。
山地剥,断舍离,掉头发、掉粉、掉装备？没关系，旧的不去新的不来。
地雷复,触底反弹,最坏的时候已经过去了。接下来每一步都是上坡路，加油奥利给。
天雷无妄,意外之喜,本来只想买根葱，结果送了头蒜。生活总有一些不期而遇的幽默。
山天大畜,憋大招,你现在的沉默不是沉默，是在蓄力。等下那一嗓子绝对惊艳全场。
山雷颐,干饭人,天大地大，吃饭最大。没有什么烦恼是一顿火锅解决不了的，如果有，就两顿。
泽风大过,压力山大,梁以此弯，你要抗住。虽然有点累，但只有你这种粗腿才抗得住。
坎为水,深夜EMO,情绪像海啸一样涌来。别抵抗了，在此刻的眼泪里泡个澡吧。
离为火,C位出道,热情似火，想低调都难。今天你就是人群中最亮的那个灯泡。
泽山咸,心电感应,那个谁可能也在想你。别问我是谁，问就是玄学。
雷风恒,稳如老狗,哪怕外面刮风下雨，你的心态依然稳得一批。坚持下去，胜利在望。
天山遁,隐身模式,只要我躲得够快，麻烦就追不上我。今天适合消失，谁找都说不在。
雷天大壮,肌肉猛男,感觉浑身充满了力量，甚至想去搬砖。做事雷厉风行，不要怂。
火地晋,升职加薪,虽然不一定真加薪，但你的状态就像刚拿了奖金一样昂扬。
地火明夷,韬光养晦,环境有点黑，不要强出头。把光芒收起来，假装自己是个路人甲。
风火家人,宅家大吉,外面太危险，还是被窝里安全。听听歌，撸撸猫，这才是生活。
火泽睽,火星撞地球,意见不合，看谁都不顺眼。正常，大家都是独立的烟火，炸就炸吧。
水山蹇,寸步难行,好像怎么走都是死胡同。别走了，原地坐下休息会儿不行吗？
